subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,RT_trial,RT_diff_trial
3,4,420,NS,NS,RB,NaN,NA,0.5419643868481216,0.03118779783108039
3,4,421,NS,NS,RB,NaN,NA,0.6792310698729125,0
3,4,422,NS,NS,RB,NaN,NA,0.5435198638224392,0.015554769721347839
3,4,423,SL,SAS,RR,0.166,short,0.8602924657752737,NaN
3,4,424,SL,SAS,RR,0.066,short,0.9339175225104555,NaN
3,4,425,SR,SAS,RL,0.066,short,0.8528418279893231,NaN
3,4,426,SL,SAS,RB,0.466,long,0.5310199141094927,0.015631199639756233
3,4,427,SB,SSS,RB,0.366,intermediate,0.6605040925642243,0.28077758123981766
3,4,428,IG,IG,RB,0.066,short,0.6417354262011941,0
3,4,429,NS,NS,RB,NaN,NA,0.5128617729133111,0
3,4,430,SR,SAS,RB,0.366,intermediate,0.5340985041802924,0.015614743439073209
3,4,431,SL,SAS,RB,0.366,intermediate,0.5310147944001073,0.015680933945986908
3,4,432,NS,NS,RB,NaN,NA,0.6526789847084729,0.01561766898521455
3,4,433,NS,NS,RB,NaN,NA,0.5404015960084507,0.01557305439200718
3,4,434,NS,NS,RB,NaN,NA,0.6063726894099091,0.03123497228807537
3,4,435,NS,NS,RB,NaN,NA,0.5809129304943781,0.015498818633204792
3,4,436,SL,SAS,RL,0.166,short,1.0067632865539053,NaN
3,4,437,SR,SAS,RB,0.066,short,0.9646875156031456,0.01558841351652518
3,4,438,SL,SAS,RR,0.166,short,0.9380498581813299,NaN
3,4,439,NS,NS,RB,NaN,NA,0.5751569160202052,0
3,4,440,NS,NS,RB,NaN,NA,0.6198494062555255,0
3,4,441,NS,NS,RB,NaN,NA,0.5231549456730136,0
3,4,442,NS,NS,RB,NaN,NA,0.5511992428473604,0.031203156955598388
3,4,443,NS,NS,RB,NaN,NA,0.523594509169925,0.015580002567730844
3,4,444,SB,SSS,NR,0.066,short,NaN,NaN
3,4,445,SB,SSS,RB,0.066,short,0.7747884067648556,0.031186700754915364
3,4,446,SR,SAS,RL,0.166,short,1.0679924333380768,NaN
3,4,447,NS,NS,RB,NaN,NA,0.6526703909148637,0.015617303295584861
3,4,448,NS,NS,RB,NaN,NA,0.6417193356901407,0
3,4,449,SR,SAS,RL,0.066,short,0.8558430739067262,NaN
3,4,450,SL,SAS,RRO,0.066,short,1.02535477445781,NaN
3,4,451,NS,NS,RB,NaN,NA,0.9987480181225692,0.015598287238390185
3,4,452,SR,SAS,RB,0.466,long,0.7305285318507231,0.01562644563091453
3,4,453,SB,SSS,RB,0.366,intermediate,0.4845508852304192,0
3,4,454,SB,SSS,NR,0.066,short,NaN,NaN
3,4,455,NS,NS,RB,NaN,NA,0.5329023209924344,0.015612549279467203
3,4,456,SL,SAS,RR,0.366,intermediate,1.0378325997153297,NaN
3,4,457,NS,NS,RB,NaN,NA,0.5978939045598963,0
3,4,458,NS,NS,RB,NaN,NA,0.5936876988198492,0.031142451844061725
3,4,459,NS,NS,RB,NaN,NA,0.7299331829635776,0.03121303068473935
3,4,460,NS,NS,RB,NaN,NA,1.0788921086423215,0.01567106023139786
3,4,461,NS,NS,RB,NaN,NA,0.7725781557164737,0.031183775208774023
3,4,462,SB,SSS,NR,0.466,long,NaN,NaN
3,4,463,NS,NS,RB,NaN,NA,0.5157167414581636,0
3,4,464,NS,NS,RB,NaN,NA,0.7845434616538114,0.015480533955269493
3,4,465,SB,SSS,NR,0.266,short,NaN,NaN
3,4,466,NS,NS,RB,NaN,NA,0.5385870252466702,0.031198402946756687
3,4,467,NS,NS,RB,NaN,NA,0.8006721872043272,0.15605637676344486
3,4,468,SR,SAS,NR,0.466,long,NaN,NaN
3,4,469,NS,NS,RB,NaN,NA,0.7689252441268764,0.015568666072795168
3,4,470,NS,NS,RB,NaN,NA,0.6342825942483614,0
3,4,471,SR,SAS,RL,0.366,intermediate,0.9129237945162458,NaN
3,4,472,NS,NS,RB,NaN,NA,0.5666827023451333,0
3,4,473,NS,NS,RB,NaN,NA,0.6871757594781229,0
3,4,474,IG,IG,RB,0.066,short,0.8624696215701988,0.17162175159319304
3,4,475,IG,IG,RB,0.366,intermediate,0.5562436179170618,0
3,4,476,NS,NS,RB,NaN,NA,0.5229962347293622,0
3,4,477,NS,NS,RB,NaN,NA,0.6056321602300159,0.015509423741605133
3,4,478,NS,NS,RB,NaN,NA,0.6882823477717466,0
3,4,479,NS,NS,RB,NaN,NA,0.5748354715105961,0
3,4,480,NS,NS,RBO,NaN,NA,0.4792077386373421,0
3,4,481,IG,IG,RB,0.266,short,0.8427234566916013,0.015575614248518832
3,4,482,SL,SAS,RB,0.366,intermediate,0.46513640428020153,0.015617668992490508
3,4,483,NS,NS,RB,NaN,NA,0.5936079776511178,0.031169513167697005
3,4,484,NS,NS,RB,NaN,NA,0.6440109535178635,0.015649118620785885
3,4,485,NS,NS,RB,NaN,NA,0.6185087741650932,0.031203156955598388
3,4,486,NS,NS,RB,NaN,NA,0.8349180962795799,0.03116585623502033
3,4,487,NS,NS,RB,NaN,NA,0.535310412185936,0.031195477400615346
3,4,488,SB,SSS,NR,0.166,short,NaN,NaN
3,4,489,NS,NS,RB,NaN,NA,0.5816421231829736,0.01562973687396152
3,4,490,IG,IG,RB,0.166,short,0.8602875289216172,0.01559133906266652
3,4,491,SL,SAS,RB,0.466,long,0.5228916464038775,0
3,4,492,NS,NS,RB,NaN,NA,0.5353844651035615,0
3,4,493,SB,SSS,RB,0.466,long,0.6013579355058027,0.015548918629065156
3,4,494,NS,NS,RB,NaN,NA,0.5971499012957793,0.015604504020302556
3,4,495,NS,NS,RB,NaN,NA,0.719935307643027,0.01550540111202281
3,4,496,SR,SAS,RL,0.266,short,1.1780412863226957,NaN
3,4,497,SR,SAS,RB,0.366,intermediate,0.5665364249798586,0
3,4,498,NS,NS,RB,NaN,NA,0.5232964690258086,0.01558365950040752
3,4,499,NS,NS,RB,NaN,NA,0.5815543567587156,0.015590241979225539
3,5,500,SB,SSS,RB,0.366,intermediate,0.6776900377954007,0.062374132889090106
3,5,501,NS,NS,RB,NaN,NA,0.7525255397522415,0.031192917544103693
3,5,502,SL,SAS,RB,0.466,long,0.58564280921928,0.01549955001246417
3,5,503,NS,NS,RB,NaN,NA,0.6360466993210139,0
3,5,504,SB,SSS,RB,0.366,intermediate,0.5482501082406088,0.01548236242524581
3,5,505,SL,SAS,RB,0.466,long,0.6153038370175636,0
3,5,506,NS,NS,RB,NaN,NA,0.6365881084275316,0.015539410596829839
3,5,507,SB,SSS,NR,0.066,short,NaN,NaN
3,5,508,NS,NS,RB,NaN,NA,0.5268546660227003,0
3,5,509,NS,NS,RB,NaN,NA,0.5950158973282669,0.015530268268776126
3,5,510,SL,SAS,RR,0.166,short,0.9126981616718695,NaN
3,5,511,NS,NS,RB,NaN,NA,0.6912510469774134,0
3,5,512,NS,NS,RB,NaN,NA,0.49978896445099963,0
3,5,513,SL,SAS,RR,0.266,short,0.9323622283773148,NaN
3,5,514,NS,NS,RB,NaN,NA,0.5325033494773379,0.015586219356919173
3,5,515,NS,NS,RB,NaN,NA,0.5372140292893164,0
3,5,516,NS,NS,RB,NaN,NA,0.5653159231806058,0.031234240901540034
3,5,517,NS,NS,RB,NaN,NA,0.49191595075899386,0.015588779213430826
3,5,518,SR,SAS,RB,0.466,long,0.5189763497801323,0.01561108651367249
3,5,519,IG,IG,RB,0.266,short,0.8590130873453745,0.015545993075647857
